price,year,make,model,bodytype,transmission,odometer,drivetrain,age,annual_km
57990,2019,Ram,1500,Truck,Automatic,82584,4x4,4,20646
23888,2017,Jeep,Patriot,SUV,Automatic,75934,4x4,6,12655
73506,2020,Lexus,Gx,SUV,Automatic,58080,4x4,3,19360
49888,2018,Toyota,Tacoma,Truck,Automatic,73985,4x4,5,14797
26888,2017,Volkswagen,Tiguan,SUV,Automatic,117000,awd,6,19500
41985,2021,Toyota,Rav4,SUV,Automatic,6572,awd,2,3286
11888,2014,Dodge,Dart,Sedan,Manual,79800,fwd,9,8866
28888,2018,Chevrolet,Malibu,Sedan,Automatic,83125,fwd,5,16625
22906,2017,Mazda,Cx-3,SUV,Automatic,77467,awd,6,12911
23888,2019,Toyota,Corolla,Sedan,Automatic,122110,fwd,4,30527
21888,2007,Toyota,Tundra,Truck,Automatic,219000,4x4,16,13687
31888,2019,Toyota,Camry,Sedan,Automatic,82598,fwd,4,20649
36888,2018,Dodge,Charger,Sedan,Automatic,56999,awd,5,11399
21888,2016,Jeep,Patriot,SUV,Automatic,130780,4x4,7,18682
29888,2018,Mitsubishi,Rvr,SUV,Automatic,89000,4x4,5,17800
50888,2019,Jeep,Wrangler,SUV,Automatic,14919,4x4,4,3729
39888,2019,Honda,Accord,Sedan,Automatic,44198,fwd,4,11049
24888,2007,Toyota,Fj,SUV,Automatic,242486,other,16,15155
18995,2015,Toyota,Camry,Sedan,Automatic,104963,fwd,8,13120
34985,2021,Toyota,Rav4,SUV,Automatic,52120,awd,2,26060
26000,2018,Ford,Escape,SUV,Automatic,91262,4x4,5,18252
35750,2018,Gmc,Terrain,SUV,Automatic,93908,awd,5,18781
15888,2013,Ford,Expedition,SUV,Automatic,203160,4x4,10,20316
37888,2019,Ram,1500,Truck,Automatic,135530,4x4,4,33882
41888,2017,Ram,1500,Truck,Automatic,161687,4x4,6,26947
20888,2017,Nissan,Sentra,Sedan,Automatic,126388,fwd,6,21064
41888,2017,Ram,1500,Truck,Automatic,108383,4x4,6,18063
48995,2020,Jeep,Grand,SUV,Automatic,36534,4x4,3,12178
49276,2019,Ford,Explorer,SUV,Automatic,58549,4x4,4,14637
36998,2015,Ram,1500,Truck,Automatic,125044,4x4,8,15630
